1 -62 1
2 -73 52
4 -73 52
10 -76 52
11 -76 52
13 -76 52
14 -76 52
18 -76 52
19 -76 52
20 -75 52
21 -74 52
22 -74 52
28 -74 52
29 -74 52
30 -75 52
31 -74 52
36 -75 52
37 -75 52
38 -74 52
39 -74 52
44 -74 52
45 -74 39
46 -76 39
47 -73 39
48 -75 39
49 -74 39
54 -74 39
55 -74 39
56 -74 39
57 -74 39
62 -74 39
63 -74 39
64 -73 39
65 -74 39
66 -67 26
68 -68 52
70 -65 52
76 -63 52
77 -63 52
78 -63 52
79 -63 52
84 -64 52
85 -64 52
88 -64 52
89 -64 52
90 -65 52
91 -64 52
92 -65 52
97 -64 52
98 -65 52
99 -65 52
100 -65 52
105 -64 52
106 -64 52
107 -64 52
108 -65 52
113 -66 52
114 -67 52
115 -67 52
116 -67 52
121 -67 52
122 -67 52
125 -67 52
126 -67 52
129 -67 52
130 -66 52
131 -67 52
132 -68 52
135 -68 52
136 -68 52
137 -69 52
139 -69 1
141 -64 52
143 -55 1
144 -64 1
145 -62 52
147 -56 52
149 -51 1
150 -56 52
152 -57 58.5
154 -57 52
156 -58 52
158 -57 52
164 -56 52
165 -57 58.5
166 -57 58.5
167 -57 58.5
172 -56 52
173 -56 52
174 -56 52
175 -56 52
180 -57 78
181 -57 78
182 -57 78
185 -57 78
186 -58 78
189 -58 78
190 -58 78
191 -58 78
196 -58 78
197 -58 78
198 -58 78
199 -58 78
204 -58 78
205 -58 78
206 -58 78
207 -59 78
212 -59 78
213 -58 104
214 -58 104
215 -58 104
220 -58 104
221 -58 104
222 -58 104
223 -59 78
224 -57 52
226 -59 104
228 -56 104
230 -50 104
232 -57 104
234 -57 1
235 -53 104
238 -50 104
240 -52 104
242 -53 117
248 -50 117
249 -50 117
250 -50 117
251 -50 117
256 -50 130
257 -50 117
258 -50 117
259 -50 117
264 -50 117
265 -50 117
266 -50 117
267 -50 117
272 -50 117
273 -50 117
274 -50 117
275 -50 117
280 -50 117
281 -50 117
282 -50 117
283 -50 117
288 -50 117
289 -50 117
290 -50 117
291 -50 117
296 -50 117
297 -50 117
298 -50 117
299 -50 117
304 -50 117
305 -50 117
306 -50 117
307 -50 117
308 -48 117
310 -45 130
312 -46 117
314 -46 117
316 -56 117
318 -49 117
320 -60 130
322 -57 117
324 -59 117
330 -67 117
331 -67 117
334 -65 104
335 -65 104
336 -65 104
337 -65 104
342 -65 104
343 -65 104
344 -65 104
345 -65 104
350 -63 104
351 -61 104
352 -61 104
353 -61 104
358 -61 104
359 -61 104
362 -61 104
363 -61 104
364 -61 104
365 -61 104
370 -61 104
371 -61 104
372 -61 104
